block,pot,plant_sp,CO2,aphid_count,total_carbs
1,11,foxtail barley,Elevated,21,NA
1,12,foxtail barley,Elevated,39,NA
1,13,foxtail barley,Elevated,35,NA
1,14,foxtail barley,Elevated,34,NA
1,15,foxtail barley,Elevated,19,NA
1,16,foxtail barley,Elevated,28,NA
1,17,foxtail barley,Elevated,16,NA
1,18,foxtail barley,Elevated,23,NA
1,19,foxtail barley,Elevated,11,NA
1,20,foxtail barley,Elevated,33,NA
2,11,foxtail barley,Elevated,30,53.691
2,12,foxtail barley,Elevated,32,61.925
2,13,foxtail barley,Elevated,25,57.960
2,14,foxtail barley,Elevated,21,65.828
2,15,foxtail barley,Elevated,5,54.158
2,16,foxtail barley,Elevated,9,61.480
2,17,foxtail barley,Elevated,8,16.959
2,18,foxtail barley,Elevated,8,81.266
2,19,foxtail barley,Elevated,23,67.648
2,20,foxtail barley,Elevated,36,44.635
1,31,green foxtail,Elevated,3,NA
1,32,green foxtail,Elevated,3,NA
1,33,green foxtail,Elevated,17,NA
1,34,green foxtail,Elevated,4,NA
1,35,green foxtail,Elevated,3,NA
1,36,green foxtail,Elevated,3,NA
1,37,green foxtail,Elevated,3,NA
1,38,green foxtail,Elevated,5,NA
1,39,green foxtail,Elevated,6,NA
1,40,green foxtail,Elevated,4,NA
2,31,green foxtail,Elevated,3,111.996
2,32,green foxtail,Elevated,3,102.879
2,33,green foxtail,Elevated,3,77.341
2,34,green foxtail,Elevated,3,77.726
2,35,green foxtail,Elevated,3,80.427
2,36,green foxtail,Elevated,3,124.655
2,37,green foxtail,Elevated,2,39.494
2,38,green foxtail,Elevated,13,70.748
2,39,green foxtail,Elevated,3,55.803
2,40,green foxtail,Elevated,7,88.648
1,51,winter wheat,Elevated,29,NA
1,52,winter wheat,Elevated,17,NA
1,53,winter wheat,Elevated,48,NA
1,54,winter wheat,Elevated,38,NA
1,55,winter wheat,Elevated,13,NA
1,56,winter wheat,Elevated,9,NA
1,57,winter wheat,Elevated,59,NA
1,58,winter wheat,Elevated,51,NA
1,59,winter wheat,Elevated,39,NA
1,60,winter wheat,Elevated,68,NA
2,51,winter wheat,Elevated,20,93.889
2,52,winter wheat,Elevated,25,79.210
2,53,winter wheat,Elevated,25,129.252
2,54,winter wheat,Elevated,36,78.221
2,55,winter wheat,Elevated,4,118.450
2,56,winter wheat,Elevated,55,67.680
2,57,winter wheat,Elevated,8,76.967
2,58,winter wheat,Elevated,9,87.602
2,59,winter wheat,Elevated,29,86.557
2,60,winter wheat,Elevated,17,191.400
